HostCorrectedName_MSW05	ParasiteCorrectedName	LocationName	LongitudeDecimal	LatitudeDecimal	Accuracy	Extent_km2	TotalPrevalence	Citation	HostCorrectedName	CoatReflectance	CortisolLevels
Pan troglodytes	Physaloptera caucasia	Gombe	29.61	-4.7	2	2	0.682	Gillespie et al. 2010b	Pan_troglodytes	0.960233874910117	0.0536702226210603
Pan troglodytes	Physaloptera caucasia	Gombe	29.61	-4.7	2	2	0.729	Gillespie et al. 2010b	Pan_troglodytes	0.40366925020175	0.804162379597989
Pan troglodytes	Physaloptera caucasia	Gombe	29.61	-4.7	2	2	0.667	Gillespie et al. 2010b	Pan_troglodytes	2.35866342319002	1.46061052688669
Pan troglodytes	Physaloptera caucasia	Gombe	29.61	-4.7	2	2	0.64	Gillespie et al. 2010b	Pan_troglodytes	2.00166054183646	0.222762243717822
Pan troglodytes	Physaloptera caucasia	Gombe	29.61	-4.7	2	2	0.552	Gillespie et al. 2010b	Pan_troglodytes	0.203785084975581	1.551625311652
Pan troglodytes	Physaloptera caucasia	Gombe	29.61	-4.7	2	2	0.897	Gillespie et al. 2010b	Pan_troglodytes	0.335055504438612	0.138496673549413
Pan troglodytes	Physaloptera caucasia	Gombe	29.61	-4.7	2	2	0.833	Gillespie et al. 2010b	Pan_troglodytes	1.23677795064363	0.151321275723403
Pan troglodytes	Physaloptera caucasia	Gombe	29.61	-4.7	2	2	0.8	Gillespie et al. 2010b	Pan_troglodytes	1.56822420740605	0.946982831997329
Pan troglodytes	Physaloptera caucasia	Gombe	29.61	-4.7	2	2	0.821	Gillespie et al. 2010b	Pan_troglodytes	2.00480127310557	0.648125971573375
Pan troglodytes	Physaloptera caucasia	Gombe	29.61	-4.7	2	2	0.857	Gillespie et al. 2010b	Pan_troglodytes	0.393643769585043	0.0721309793725769
Pan troglodytes	Physaloptera caucasia	Gombe	29.61	-4.7	2	2	0.761	Gillespie et al. 2010b	Pan_troglodytes	2.06988135391697	1.14019479216762
Pan troglodytes	Physaloptera caucasia	Gombe	29.61	-4.7	2	2	0.759	Gillespie et al. 2010b	Pan_troglodytes	0.291307325000883	0.498662417280473
Pan troglodytes	Physaloptera caucasia	Gombe	29.61	-4.7	2	2	0.708	Gillespie et al. 2010b	Pan_troglodytes	0.43873988454353	1.39251365826164
Papio cynocephalus	Physaloptera sp.	Johannesburg	28.08	-26.2	2	2	0.13	Myers et al 1971	Papio_cynocephalus	1.26364692677228	1.25765517884802
Cercocebus galeritus	Physaloptera sp.	Tana River	40.1464	-1.869	2	2	0.09	Mbora and McPeek 2009	Cercocebus_galeritus	1.21043399905706	0.526042090296392
Papio anubis	Physaloptera sp.	Dura	30.3833	0.45	2	2	0.02	Bezjian et al. 2008	Papio_anubis	0.154492390180965	0.0869899827357815
Cebus capucinus	Acanthocheilonema gracile	Kartabo	-59.2	6.3	2	2	NA	National Parasite Collection (WWW)	Cebus_capucinus	1.94995196579802	0.889414843091207
Cebus capucinus	Acanthocheilonema gracile	PANAMA	-80	9	2	3	0.933	McCoy 1936	Cebus_capucinus	0.560222358239278	0.161569577497653
Ateles geoffroyi	Acanthocheilonema gracile	PANAMA	-80	9	2	3	1	McCoy 1936	Ateles_geoffroyi	0.685314009927257	1.50838565600098
Saimiri oerstedii	Acanthocheilonema gracile	Chiriqui Province	-82.38	8.59	2	2	0	McCoy 1936	Saimiri_oerstedii	0.254201459118983	1.98454740606694
Ateles fusciceps	Acanthocheilonema gracile	Darien Province	-77.88	8.22	2	3	0.5	McCoy 1936	Ateles_fusciceps	1.86453436399705	0.210286810610329
Saguinus geoffroyi	Acanthocheilonema gracile	Darien Province	-77.88	8.22	2	3	0	McCoy 1936	Saguinus_geoffroyi	0.578062624908451	1.15836060823705
Alouatta palliata	Acanthocheilonema gracile	PANAMA	-80	9	2	3	0	McCoy 1936	Alouatta_palliata	1.89354327996421	1.35832488418487
Lemur catta	Acinetobacter lwoffii	Tsimanampetsotsa	43.75	-24.08	1	1	0.2	Dutton et al. 2003	Lemur_catta	0.0202867137278704	1.20520396006825
Eulemur rufus	Acinetobacter lwoffii	Tsiombokibo	47.5	-18.9	2	2	0.25	Junge and Louis 2005b	Eulemur_rufus	0.916891742521961	1.15363701796764
Lemur catta	Acinetobacter sp.	Tsimanampetsotsa	43.75	-24.08	1	1	0.15	Dutton et al. 2003	Lemur_catta	0.00540698984428044	0.137847481396549
Pongo pygmaeus	Mastadenovirus SV	Eastern Sabah	117	5.5	2	3	0.088	Kilbourn et al. 1998	Pongo_pygmaeus	0.512802869982359	0.481362510414533
Pongo pygmaeus	Mastadenovirus SV	Sabah	117	5.5	2	3	0.05	Kilbourn et al. 2003	Pongo_pygmaeus	1.38608729563086	0.10044720861231
Propithecus diadema	Mastadenovirus SV	Tsinjoarivo forest	47.1	-15.7	2	2	0	Irwin et al. 2010	Propithecus_diadema	1.30179870611679	0.0376722718051393
Macaca mulatta	Mastadenovirus SV	Lucknow	80.92	26.85	2	2	0.021	Bhatt et al. 1966	Macaca_mulatta	0.523560761424315	0.692333536455496
Macaca fuscata	Deltaretrovirus STLV	Honshu	138	36	2	2	0.29	Ishida et al. 1983	Macaca_fuscata	0.285649105013496	1.07508223547977
Macaca fuscata	Deltaretrovirus STLV	Honshu	138	36	2	2	0.2	Ishida et al. 1983	Macaca_fuscata	1.85858053895741	1.80903261150166
Macaca fuscata	Deltaretrovirus STLV	Honshu	138	36	2	2	0.35	Ishida et al. 1983	Macaca_fuscata	1.30257608478421	0.18454751144305
Macaca fuscata	Deltaretrovirus STLV	Honshu	138	36	2	2	0.42	Ishida et al. 1983	Macaca_fuscata	0.192698725800695	0.636005793910469
Macaca fuscata	Deltaretrovirus STLV	Honshu	138	36	2	2	0.05	Ishida et al. 1983	Macaca_fuscata	1.4755146317171	0.487377794790473
Pongo pygmaeus	Cytomegalovirus Cercopithecine herpesvirus 5	Sabah	117	5.5	2	3	0	Kilbourn et al. 2003	Pongo_pygmaeus	0.0927196509259858	0.365490064663811
Saguinus geoffroyi	Allodapa sp.	PANAMA	-80	9	2	3	NA	National Parasite Collection (WWW)	Saguinus_geoffroyi	0.888882119217315	0.160601589157463
Alouatta seniculus	Alouattalges corbeti	Paramaribo	-55.16	5.83	2	2	NA	Fain 1963	Alouatta_seniculus	2.58049603294688	1.44576412090447
Alouatta palliata	Alouattamyia baeri	PANAMA	-80	9	2	3	NA	Guimaraes 1971	Alouatta_palliata	0.229695440590651	0.372577506974914
Alouatta palliata	Alouattamyia baeri	COSTA RICA	-84	10	2	3	NA	Guimaraes 1971	Alouatta_palliata	0.214436755493091	0.671376677721012
Alouatta palliata	Alouattamyia baeri	PANAMA	-80	9	2	3	NA	Stuart et al. 1998	Alouatta_palliata	0.40983152057395	1.20452431216672
Alouatta palliata	Alouattamyia baeri	Barro Colorado Island	-79.83	9.15	2	2	0.82	Baron et al. 1996	Alouatta_palliata	0.480867603250528	0.884488250352624
Alouatta palliata	Alouattamyia baeri	Barro Colorado Island	-79.83	9.15	2	2	1	Colwell and Milton 1998	Alouatta_palliata	0.760037321884388	0.969936276311334
Alouatta belzebul	Alouattamyia baeri	Maranhao	-45	-5	2	2	NA	Guimaraes 1971	Alouatta_belzebul	1.06838047282359	0.718821963084813
Aotus trivirgatus	Alouattamyia baeri	Para	-53	-4	2	3	NA	Guimaraes 1971	Aotus_trivirgatus	0.759826040849773	1.40781772935402
Alouatta palliata	Alouattamyia baeri	COSTA RICA	-84	10	2	3	NA	Stuart et al. 1998	Alouatta_palliata	0.624118083797598	0.624115904108196
Alouatta palliata	Alouattamyia baeri	Barro Colorado Island	-79.83	9.15	2	2	0.6	Milton 1996	Alouatta_palliata	0.483705766193269	0.905348611867524
Alouatta palliata	Alouattamyia baeri	Barro Colorado Island	-79.83	9.15	2	2	0.63	Baron et al. 1996	Alouatta_palliata	0.173426221355771	0.141911577143013
Alouatta palliata	Alouattamyia baeri	Barro Colorado Island	-79.83	9.15	2	2	0.63	Milton 1996	Alouatta_palliata	1.07439601811983	0.536027541911834
Alouatta palliata	Alouattamyia baeri	Barro Colorado Island	-79.83	9.15	2	2	0.84	Baron et al. 1996	Alouatta_palliata	1.32257279907813	4.02412905626278
Alouatta palliata	Alouattamyia baeri	Barro Colorado Island	-79.83	9.15	2	2	0.65	Milton 1996	Alouatta_palliata	0.585002202284466	2.08807091400265
Alouatta palliata	Alouattamyia baeri	Barro Colorado Island	-79.83	9.15	2	2	0.73	Baron et al. 1996	Alouatta_palliata	0.0275662858830449	1.64810417325932
Alouatta palliata	Alouattamyia baeri	Barro Colorado Island	-79.83	9.15	2	2	0.64	Milton 1996	Alouatta_palliata	1.04833968767202	0.125339185190212
Alouatta palliata	Alouattamyia baeri	Barro Colorado Island	-79.83	9.15	2	2	0.86	Baron et al. 1996	Alouatta_palliata	0.913944950191788	1.60066918299926
Alouatta palliata	Alouattamyia baeri	Barro Colorado Island	-79.83	9.15	2	2	0.52	Milton 1996	Alouatta_palliata	1.49834561067474	0.284449440263539
Eulemur macaco	Streptococcus sp.	Lokobe	48.3	-13.42	2	2	0.1	Junge and Louis 2007	Eulemur_macaco	0.595626893337784	0.0889962290724919
Gorilla beringei	Simplexvirus Herpes simplex virus 1	Parc Natl Volcans	29.5	-1.5	2	2	0.58	Eberle 1992	Gorilla_beringei	1.26403064284095	0.808845586536075
Gorilla beringei	Simplexvirus Herpes simplex virus 1	Parc Natl Volcans	29.5	-1.5	2	2	0.5	Eberle 1992	Gorilla_beringei	0.395326356281035	0.919144808093833
Gorilla beringei	Simplexvirus Herpes simplex virus 1	Parc Natl Volcans	29.5	-1.5	2	2	0.6	Eberle 1992	Gorilla_beringei	0.389408266586215	1.40588036369475
Macaca sinica	Alphavirus Chikungunya	Polonnaruwa	81	7.93	2	2	0	Peiris et al. 1993	Macaca_sinica	0.332281231818193	0.666322972839049
Macaca sinica	Alphavirus Sindbis	Polonnaruwa	81	7.93	2	2	0	Peiris et al. 1993	Macaca_sinica	0.66888977208371	1.05324830470454
Pithecia pithecia	Amblyomma longirostre	Petit Saut	-53.08	4.91	2	2	0.167	de Thoisy et al. 2001	Pithecia_pithecia	0.383610201743021	0.310531612826105
Alouatta seniculus	Amblyomma sp.	Petit Saut	-53.08	4.91	2	2	0.008	de Thoisy et al. 2001	Alouatta_seniculus	0.0522101073384481	1.66988539619689
Papio ursinus	Amblyomma hebraeum	Kruger	31.5	-23.83	2	2	0.02	McConnell et al. 1974	Papio_ursinus	1.10824303536232	1.1070674990631
Papio anubis	Amblyomma sp.	Kilifi	39.85	-3.63	2	2	0.16	Kuntz and Myers 1967a	Papio_anubis	1.38093033129074	0.748059717376334
Papio anubis	Amblyomma sp.	Mau Norak	36	-0.6	2	2	0	Kuntz and Myers 1967a	Papio_anubis	0.114750667567401	1.23262974548772
Papio anubis	Amblyomma sp.	Kimani	37.08	-2.13	1	1	0.1	Kuntz and Myers 1967a	Papio_anubis	1.36396289467551	1.6946340536351
Papio anubis	Amoeba sp.	Gashaka Gumti	11.7	7.5	2	2	-99	Weyher et al. 2006	Papio_anubis	0.783197790792409	0.701563687619477
Papio anubis	Amoeba sp.	Gashaka Gumti	11.7	7.5	2	2	-99	Weyher et al. 2006	Papio_anubis	0.218844231482196	0.407000084625919
Papio anubis	Amoeba sp.	Gashaka Gumti	11.7	7.5	2	2	1	Weyher 2009	Papio_anubis	0.381618796560424	1.10478667571366
Papio anubis	Amoeba sp.	Gashaka Gumti	11.7	7.5	2	2	1	Weyher 2009	Papio_anubis	1.54797529180864	0.600170767238796
Otolemur crassicaudatus	Ancylostoma sp.	Katanga	26.54	-3.28	2	2	NA	National Parasite Collection (WWW)	Otolemur_crassicaudatus	1.24808303019163	1.48956962843386
Macaca fascicularis	Ancylostoma duodenale	Can Gio	106.66	10.75	2	2	0.1	Son, 2002	Macaca_fascicularis	1.28262786462161	0.683152830712709
Trachypithecus delacouri	Ancylostoma sp.	Van Long	106.4	10.5	2	2	0	Do 2009	Trachypithecus_delacouri	0.474951444771128	0.947966433861643
Gorilla beringei	Anoplocephala gorillae	Parc Natl Volcans	29.5	-1.5	2	2	0.85	Sleeman et al. 2000	Gorilla_beringei	0.722882736470287	0.610378462500909
Gorilla gorilla	Anoplocephala gorillae	Mgahinga	29.63	-1.38	2	2	0.88	Ashford et al. 1996	Gorilla_gorilla	0.369962539386899	0.734459794371684
Gorilla beringei	Anoplocephala gorillae	Bwindi	29.7	-1.05	2	2	NA	Kalema 1995	Gorilla_beringei	1.37462306657218	0.336916081981121
Gorilla gorilla	Anoplocephala gorillae	Parc Natl Volcans	29.5	-1.5	2	2	NA	Fossey 1983	Gorilla_gorilla	0.189699193712532	0.180669747837502
Gorilla gorilla	Anoplocephala gorillae	Bwindi	29.7	-1.05	2	2	0.88	Ashford et al. 1996	Gorilla_gorilla	0.079042293296272	0.933617508044565
Gorilla beringei	Anoplocephala gorillae	Bwindi	29.7	-1.05	2	2	NA	Rothman and Bowman 2003	Gorilla_beringei	0.8958830764297	0.0239398586447322
Gorilla beringei	Anoplocephala gorillae	Parc Natl Volcans	29.5	-1.5	2	2	NA	Rothman and Bowman 2003	Gorilla_beringei	0.534729046462544	0.782853082821899
Gorilla beringei	Anoplocephala gorillae	Bwindi	29.7	-1.05	2	2	NA	Kalema-Zikusoka et al. 2005	Gorilla_beringei	1.09504186725952	0.0689083842924963
Gorilla beringei	Anoplocephala gorillae	Bwindi	29.7	-1.05	2	2	NA	Kalema-Zikusoka et al. 2005	Gorilla_beringei	0.642543327271852	0.147191106474732
Gorilla beringei	Anoplocephala gorillae	Bwindi	29.7	-1.05	2	2	0.124	Rothman et al. 2008	Gorilla_beringei	0.405992416004487	1.58862309417817
Gorilla beringei	Anoplocephala gorillae	Bwindi	29.7	-1.05	2	2	0.053	Rothman et al. 2008	Gorilla_beringei	1.26814604638979	0.0802600414807525
Gorilla beringei	Anoplocephala gorillae	Bwindi	29.7	-1.05	2	2	0.076	Rothman et al. 2008	Gorilla_beringei	1.53289913664406	0.89440453576671
Gorilla beringei	Anoplocephala gorillae	Bwindi	29.7	-1.05	2	2	1	Rothman et al. 2009	Gorilla_beringei	0.229460367240527	0.465844523312484
Gorilla beringei	Anoplocephala gorillae	Bwindi	29.7	-1.05	2	2	0.083	Rothman et al. 2009	Gorilla_beringei	1.34004980051465	0.396212460744509
Gorilla beringei	Anoplocephala gorillae	Bwindi	29.7	-1.05	2	2	0.072	Rothman et al. 2009	Gorilla_beringei	0.724275498154377	0.648455374933781
Propithecus edwardsi	Anoplocephala sp.	Ranomafana	47.33	-21.26	2	2	0.056	Hogg 2002	Propithecus_edwardsi	1.15254044266917	0.072805852006854
Eulemur rubriventer	Anoplocephala sp.	Ranomafana	47.33	-21.26	2	2	0	Hogg 2002	Eulemur_rubriventer	0.785518645279849	0.836339755450991
Propithecus edwardsi	Anoplocephala sp.	Ranomafana	47.33	-21.26	2	2	0	Hogg 2002	Propithecus_edwardsi	1.09109706951643	1.01684332978423
Eulemur rubriventer	Anoplocephala sp.	Ranomafana	47.33	-21.26	2	2	0	Hogg 2002	Eulemur_rubriventer	0.774404719596837	0.608022426993721
Propithecus edwardsi	Anoplocephala sp.	Ranomafana	47.33	-21.26	2	2	0.125	Hogg 2002	Propithecus_edwardsi	0.389614694837137	0.197425613381224
Eulemur rubriventer	Anoplocephala sp.	Ranomafana	47.33	-21.26	2	2	0	Hogg 2002	Eulemur_rubriventer	1.6696732594544	0.0890394151418596
Propithecus edwardsi	Anoplocephala sp.	Ranomafana	47.33	-21.26	2	2	NA	Wright et al. 2009	Propithecus_edwardsi	0.304752309874134	0.301987946613235
Propithecus edwardsi	Anoplocephala sp.	Ranomafana	47.33	-21.26	2	2	0	Wright et al. 2009	Propithecus_edwardsi	1.1793553263741	0.453247014348282
Cercocebus galeritus	Anoplocephala sp.	Tana River	40.1464	-1.869	2	2	0.018	Mbora and McPeek 2009	Cercocebus_galeritus	0.492039160356187	0.376002070214722
Aotus nancymaae	Aototrema dorsogenitalis	Loreto	-75	-5	2	2	NA	National Parasite Collection (WWW)	Aotus_nancymaae	1.70176958711031	0.219657513536528
Aotus nancymaae	Aototrema dorsogenitalis	Loreto	-75	-5	2	2	NA	National Parasite Collection (WWW)	Aotus_nancymaae	1.20509614309485	0.395818750572954
Aotus trivirgatus	Salmonella arizonae	PANAMA	-80	9	2	3	0.00497512	Kourany and Porter 1969	Aotus_trivirgatus	0.173244343865807	2.5783480308121
Alouatta palliata	Salmonella arizonae	PANAMA	-80	9	2	3	0	Kourany and Porter 1969	Alouatta_palliata	0.350729203243338	0.063466040887887
Saguinus geoffroyi	Salmonella arizonae	PANAMA	-80	9	2	3	0	Kourany and Porter 1969	Saguinus_geoffroyi	0.7996876665738	0.351056108148553
Saguinus fuscicollis	Armillifer sp.	COLUMBIA	-72	4	2	3	NA	National Parasite Collection (WWW)	Saguinus_fuscicollis	0.329979871612575	1.69644652270779
Cercocebus galeritus	Ascaridia sp.	Tana River	40.1464	-1.869	2	2	0.07	Mbora and McPeek 2009	Cercocebus_galeritus	0.214869458802613	0.362059099662131
Ateles geoffroyi	Ascaris sp.	PANAMA	-80	9	2	3	NA	National Parasite Collection (WWW)	Ateles_geoffroyi	1.04264078180334	0.0554263096402851
Pan troglodytes	Ascaris sp.	Gombe	29.61	-4.7	2	2	0.143	Gillespie et al. 2010b	Pan_troglodytes	0.37856786419831	0.452762008448882
Gorilla gorilla	Ascaris lumbricoides	Lope	11.66	-0.5	2	2	0	Landsoud-Soukate et al. 1995	Gorilla_gorilla	0.295701605188853	0.0130799065029206
Gorilla beringei	Ascaris lumbricoides	Bwindi	29.7	-1.05	2	2	NA	Kalema-Zikusoka et al. 2002	Gorilla_beringei	1.45316375007089	0.585038655991358
Gorilla beringei	Ascaris lumbricoides	Bwindi	29.7	-1.05	2	2	NA	Kalema 1995	Gorilla_beringei	1.58643355107891	0.518459526061785
Piliocolobus badius	Ascaris lumbricoides	Tiwai	-11.35	7.55	1	1	0	Bakarr et al. 1991	Piliocolobus_badius	0.001545730193126	0.269713804374105
Colobus polykomos	Ascaris lumbricoides	Tiwai	-11.35	7.55	1	1	0	Bakarr et al. 1991	Colobus_polykomos	0.437319631432693	0.798486449727495
Cercopithecus diana	Ascaris lumbricoides	Tiwai	-11.35	7.55	1	1	0	Bakarr et al. 1991	Cercopithecus_diana	1.09437037699674	0.598905480623583
Cercocebus atys	Ascaris lumbricoides	Tiwai	-11.35	7.55	1	1	0	Bakarr et al. 1991	Cercocebus_atys	2.29302050263912	0.0160881864807458
Cercopithecus campbelli	Ascaris lumbricoides	Tiwai	-11.35	7.55	1	1	0	Bakarr et al. 1991	Cercopithecus_campbelli	0.0779244562627185	0.0277032011354416
Cercopithecus petaurista	Ascaris lumbricoides	Tiwai	-11.35	7.55	1	1	0	Bakarr et al. 1991	Cercopithecus_petaurista	0.287920420912168	1.83821835793086
Pan troglodytes	Ascaris lumbricoides	Tiwai	-11.35	7.55	1	1	0	Bakarr et al. 1991	Pan_troglodytes	0.398112479902538	2.38983962357204
Ateles fusciceps	Ascaris lumbricoides	PANAMA	-80	9	2	3	NA	National Parasite Collection (WWW)	Ateles_fusciceps	2.06169036845584	0.463821582127101
Pan troglodytes	Ascaris lumbricoides	Lope	11.66	-0.5	2	2	0.03	Landsoud-Soukate et al. 1995	Pan_troglodytes	0.431625641833519	0.703590902615983
Alouatta palliata	Ascaris lumbricoides	La Pacifica	-85.11	10.46	1	1	0.006	Stuart et al. 1990	Alouatta_palliata	0.870698442665777	1.48898640349319
Gorilla beringei	Ascaris lumbricoides	Bwindi	29.7	-1.05	2	2	NA	Rothman and Bowman 2003	Gorilla_beringei	0.746147040617257	1.07648256894565
Gorilla beringei	Ascaris lumbricoides	Bwindi	29.7	-1.05	2	2	NA	Kalema-Zikusoka et al. 2005	Gorilla_beringei	0.343598991190609	2.11117935253931
Gorilla beringei	Ascaris lumbricoides	Bwindi	29.7	-1.05	2	2	NA	Kalema-Zikusoka et al. 2005	Gorilla_beringei	1.0370044288635	0.427080567267449
Daubentonia madagascariensis	Ascaris petiti	Mahambo	49.5	-17.5	2	2	NA	Chabaud et al. 1965	Daubentonia_madagascariensis	1.05874268630833	1.00410686035423
Pongo pygmaeus	Ascaris sp.	Ketambe	97.65	3.68	1	1	0	Collet et al. 1986	Pongo_pygmaeus	2.42269468313508	2.39928446974477
Pongo pygmaeus	Ascaris sp.	Tanjung Putting	112.55	-3.38	2	2	0	Collet et al. 1986	Pongo_pygmaeus	0.70566578419296	0.7878324903978
Papio anubis	Ascaris sp.	Bwindi	29.7	-1.05	2	2	0.786	Hope et al. 2004	Papio_anubis	0.155003763129276	0.897326294467855
Papio hamadryas	Ascaris sp.	Asir	42	19	2	3	0.061	Nasher 1988	Papio_hamadryas	2.67543190811595	0.478881632581329
Papio cynocephalus	Ascaris sp.	Johannesburg	28.08	-26.2	2	2	0	Myers et al 1971	Papio_cynocephalus	1.16856614215983	0.726579295306942
Colobus guereza	Ascaris sp.	Kibale	30.41	0.45	1	1	0.013	Gillespie et al. 2005a	Colobus_guereza	0.961237538576022	0.00990564607270503
Colobus angolensis	Ascaris sp.	Lake Nabugabo	31.883	-0.371	1	1	0	Gillespie et al. 2005a	Colobus_angolensis	1.49935286961178	0.335198858236351
Pan troglodytes	Ascaris sp.	Kibale	30.41	0.45	1	1	0	Krief et al. 2005	Pan_troglodytes	0.665566478386475	0.154921044886721
Pan troglodytes	Ascaris sp.	Kibale	30.41	0.45	1	1	0	Krief et al. 2005	Pan_troglodytes	0.511671521297848	0.0828826652082039
Alouatta seniculus	Ascaris sp.	Petit Saut	-53.08	4.91	2	2	0.042	de Thoisy et al. 2001	Alouatta_seniculus	1.00437735389169	0.350273024258193
Pongo abelii	Ascaris sp.	Ketambe	97.65	3.68	1	1	0	Mul et al. 2007	Pongo_abelii	0.830009302390807	0.302429167967852
Pongo abelii	Ascaris sp.	Ketambe	97.65	3.68	1	1	0	Mul et al. 2007	Pongo_abelii	0.465251876063987	0.739299404364444
Pongo abelii	Ascaris sp.	Ketambe	97.65	3.68	1	1	0	Mul et al. 2007	Pongo_abelii	0.399149857112782	0.512735521684011
Pan paniscus	Ascaris sp.	Lomako	20.83	0.83	2	2	0.034	Dupain et al. 2009	Pan_paniscus	0.776233120971606	0.399763176211775
Cercocebus galeritus	Ascaris sp.	Tana River	40.1464	-1.869	2	2	0.08	Mbora and McPeek 2009	Cercocebus_galeritus	0.933463654165679	0.682954774446558
Pan troglodytes	Ascaris sp.	Fongoli	-12.2	12.683	2	2	0.055	Howells et al. 2010	Pan_troglodytes	0.142408622991705	0.373615259610038
Papio papio	Ascaris sp.	Fongoli	-12.2	12.683	2	2	0	Howells et al. 2010	Papio_papio	1.51178251467503	0.916892090995397
Colobus guereza	Ascaris sp.	Kibale	30.41	0.45	1	1	0.06	Gillespie and Chapman 2008	Colobus_guereza	0.977703008817563	0.130434028819225
Colobus guereza	Ascaris sp.	Kibale	30.41	0.45	1	1	0	Gillespie and Chapman 2008	Colobus_guereza	1.10913907661394	0.293200377154403
Colobus vellerosus	Ascaris sp.	Boabeng-Fiema Monkey Sanctuary	1.7	7.71667	2	2	0.115	Teichroeb et al. 2009	Colobus_vellerosus	0.287193707484979	0.188736437353747
Colobus vellerosus	Ascaris sp.	Boabeng-Fiema Monkey Sanctuary	1.7	7.71667	2	2	0.028	Teichroeb et al. 2009	Colobus_vellerosus	0.438348307791165	0.428879813540348
Microcebus murinus	Ascaris sp.	Mandena	46.995	-24.948	2	2	0.01	Raharivololona et al. 2007	Microcebus_murinus	0.537261534852297	0.16445448592195
Pan troglodytes	Ascaris sp.	Gombe	29.61	-4.7	2	2	0.135	Gillespie et al. 2010b	Pan_troglodytes	2.27476528679957	0.104602901534686
Pan troglodytes	Ascaris sp.	Gombe	29.61	-4.7	2	2	0	Gillespie et al. 2010b	Pan_troglodytes	3.35389150722353	1.26607526515301
Pan troglodytes	Ascaris sp.	Gombe	29.61	-4.7	2	2	0.237	Gillespie et al. 2010b	Pan_troglodytes	1.37208714052855	0.712701508140055
Pan troglodytes	Ascaris sp.	Gombe	29.61	-4.7	2	2	0.167	Gillespie et al. 2010b	Pan_troglodytes	0.690874210193035	0.237635535446284
Pan troglodytes	Ascaris sp.	Gombe	29.61	-4.7	2	2	0	Gillespie et al. 2010b	Pan_troglodytes	1.9089952222357	0.0967041277902134
Pan troglodytes	Ascaris sp.	Gombe	29.61	-4.7	2	2	0.103	Gillespie et al. 2010b	Pan_troglodytes	2.04639047078903	1.24934448567009
Pan troglodytes	Ascaris sp.	Gombe	29.61	-4.7	2	2	0.103	Gillespie et al. 2010b	Pan_troglodytes	0.402989877926824	0.225963529650066
Pan troglodytes	Ascaris sp.	Gombe	29.61	-4.7	2	2	0.5	Gillespie et al. 2010b	Pan_troglodytes	0.751872841777024	0.792588815446623
Pan troglodytes	Ascaris sp.	Gombe	29.61	-4.7	2	2	0.3	Gillespie et al. 2010b	Pan_troglodytes	0.377815072718744	0.800428860556816
Pan troglodytes	Ascaris sp.	Gombe	29.61	-4.7	2	2	0.231	Gillespie et al. 2010b	Pan_troglodytes	0.976358854703046	1.39983356069984
Pan troglodytes	Ascaris sp.	Gombe	29.61	-4.7	2	2	0.065	Gillespie et al. 2010b	Pan_troglodytes	0.192673448987108	1.00897652946096
Pan troglodytes	Ascaris sp.	Gombe	29.61	-4.7	2	2	0.31	Gillespie et al. 2010b	Pan_troglodytes	0.0622570590217967	1.42107600146679
